Airline,total_flights,cancelled_flights,diverted_flights,avg_departure_delay_minutes,avg_arrival_delay_minutes,total_departure_delay_minutes,total_arrival_delay_minutes,avg_distance,cancellation_rate,diversion_rate
Air Wisconsin Airlines Corp,380202,14092,818,15.232893792681962,15.978299552139111,5583145.0,5836745.0,354.4198268288962,0.0371,0.0022
Alaska Airlines Inc.,906259,17117,2231,8.537353541143348,9.475312630015864,7596153.0,8403759.0,1325.6993276756423,0.0189,0.0025
Allegiant Air,489400,22409,1408,17.235925541366502,18.418584871011184,8050987.0,8575380.0,877.2145709031468,0.0458,0.0029
American Airlines Inc.,3134117,95058,7784,13.751771078996832,13.884324912784225,4.1820291E7,4.2087207E7,1000.921527817883,0.0303,0.0025
Cape Air,1661,2,4,4.64376130198915,5.390332326283988,7704.0,8921.0,117.27272727272727,0.0012,0.0024
Capital Cargo International,392011,15481,1163,10.88155679573684,11.713520368066453,4104360.0,4396869.0,283.09070918928296,0.0395,0.003
Comair Inc.,957220,31795,2478,12.792153243304512,13.157244132111595,1.1850267E7,1.2143439E7,408.4489333695493,0.0332,0.0026
"Commutair Aka Champlain Enterprises, Inc.",260048,11005,814,22.742986755657522,24.0130202353472,5670145.0,5960728.0,386.4171537562296,0.0423,0.0031
Compass Airlines,154985,1986,232,13.847852937140168,14.397500769145168,2119040.0,2199463.0,538.2577217150047,0.0128,0.0015
Delta Air Lines Inc.,3294917,46734,6042,9.633789376931947,9.502777331399221,3.1296964E7,3.0809344E7,918.9082359282495,0.0142,0.0018
Empire Airlines Inc.,23122,1293,105,10.034904970760234,10.679705137065193,219644.0,231803.0,69.50890926390451,0.0559,0.0045
Endeavor Air Inc.,998224,20193,1767,10.224668521853003,10.566878066978505,9994000.0,1.0310272E7,425.7204114507365,0.0202,0.0018
Envoy Air,1072778,36123,2676,10.44135344575119,11.768184847081034,1.0838459E7,1.2168056E7,468.9841188018397,0.0337,0.0025
ExpressJet Airlines Inc.,353669,14363,1070,17.041288308322166,18.49100627963907,5785773.0,6254324.0,464.8461697236682,0.0406,0.003
Frontier Airlines Inc.,570452,13730,795,17.957586713244034,17.782880157142653,1.0003561E7,9886001.0,993.8828455330159,0.0241,0.0014
"GoJet Airlines, LLC d/b/a United Express",276486,9240,660,17.03163894207755,17.641083927888186,4554124.0,4702866.0,460.13436485029985,0.0334,0.0024
Hawaiian Airlines Inc.,310782,3146,278,5.410034742647656,6.014858894188536,1664619.0,1848715.0,800.3339768712474,0.0101,9.0E-4
Horizon Air,471153,11022,1104,7.012841248303935,7.716243271092986,3230290.0,3541964.0,434.64764099984507,0.0234,0.0023
JetBlue Airways,1106079,29095,3524,20.243547102854734,20.029908892739368,2.1814001E7,2.1501306E7,1142.5379145612565,0.0263,0.0032
Mesa Airlines Inc.,749216,25769,1880,15.852785470114982,16.435536221118454,1.1477813E7,1.1859357E7,600.7341794622646,0.0344,0.0025
Peninsula Airways Inc.,2783,431,59,21.154464663563267,22.476668120366334,49988.0,51539.0,792.0,0.1549,0.0212
Republic Airlines,1283704,40930,2944,10.840943765383372,11.996846336749936,1.3486546E7,1.4874026E7,570.1730017200227,0.0319,0.0023
SkyWest Airlines Inc.,3159683,72587,9798,13.86010279660375,14.2546997398367,4.2811335E7,4.3865959E7,504.37410176906985,0.023,0.0031
Southwest Airlines Co.,5474339,171408,10340,11.868488362227438,10.255326738831698,6.2948682E7,5.427725E7,750.0735186476395,0.0313,0.0019
Spirit Air Lines,836694,18150,1585,13.76083335775479,13.994808797014294,1.1269462E7,1.1433185E7,1017.249061186049,0.0217,0.0019
Trans States Airlines,161590,6614,597,21.782593847858863,23.039532578912937,3380615.0,3556820.0,462.18182437031993,0.0409,0.0037
United Air Lines Inc.,2354538,47061,6109,13.696941695313228,13.965649126954055,3.1616719E7,3.2140098E7,1191.6101371054533,0.02,0.0026
Virgin America,17670,433,84,10.902273518153347,11.950970675683553,187977.0,204995.0,1475.194001131862,0.0245,0.0048
